date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:59:50	27576/27576	---MCZ	200	added ('OK')	application/x-javascript	date:Sat,%2018%20Jan%202014%2022:27:47%20GMT	http://justdoingit.ca/wp-content/plugins/wordpress-social-stream/js/jquery.social.stream.1.5.4.min.js?ver=3.9	C:/My%20Web%20Sites/Just%20doing%20it%201/justdoingit.ca/wp-content/plugins/wordpress-social-stream/js/jquery.social.stream.1.5.4.min7868.js	(from http://justdoingit.ca/)
21:59:51	15954/15954	---MCZ	200	added ('OK')	application/x-javascript	date:Sat,%2018%20Jan%202014%2022:08:12%20GMT	http://justdoingit.ca/wp-content/themes/tdminimal/js/jquery.isotope.min.js?ver=201301	C:/My%20Web%20Sites/Just%20doing%20it%201/justdoingit.ca/wp-content/themes/tdminimal/js/jquery.isotope.min9c39.js	(from http://justdoingit.ca/)
21:59:51	1266/1266	---MCZ	200	added ('OK')	application/x-javascript	date:Sat,%2018%20Jan%202014%2022:08:12%20GMT	http://justdoingit.ca/wp-content/themes/tdminimal/js/jquery.isotope.sloppy-masonry.min.js?ver=201301	C:/My%20Web%20Sites/Just%20doing%20it%201/justdoingit.ca/wp-content/themes/tdminimal/js/jquery.isotope.sloppy-masonry.min9c39.js	(from http://justdoingit.ca/)
21:59:51	19182/19182	---MCZ	200	added ('OK')	application/x-javascript	date:Sat,%2018%20Jan%202014%2022:08:12%20GMT	http://justdoingit.ca/wp-content/themes/tdminimal/js/jquery.bxslider.min.js?ver=201301	C:/My%20Web%20Sites/Just%20doing%20it%201/justdoingit.ca/wp-content/themes/tdminimal/js/jquery.bxslider.min9c39.js	(from http://justdoingit.ca/)
21:59:51	723/723	---MCZ	200	added ('OK')	text/xml	date:Fri,%2004%20Jul%202014%2001:59:55%20GMT	http://justdoingit.ca/xmlrpc.php?rsd	C:/My%20Web%20Sites/Just%20doing%20it%201/justdoingit.ca/xmlrpc0db0.php	(from http://justdoingit.ca/)
21:59:52	1045/1045	---MCZ	200	added ('OK')	text/xml	date:Wed,%2011%20Dec%202013%2019:49:11%20GMT	http://justdoingit.ca/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/Just%20doing%20it%201/justdoingit.ca/wp-includes/wlwmanifest.xml	(from http://justdoingit.ca/)
21:59:52	2848/2848	---MCZ	200	added ('OK')	text/css	date:Tue,%2021%20Jan%202014%2019:45:37%20GMT	http://justdoingit.ca/wp-content/plugins/easy-columns/css/easy-columns.css	C:/My%20Web%20Sites/Just%20doing%20it%201/justdoingit.ca/wp-content/plugins/easy-columns/css/easy-columns.css	(from http://justdoingit.ca/)
21:59:53	16701/16701	---MCZ	200	added ('OK')	application/x-javascript	date:Sat,%2018%20Jan%202014%2022:27:47%20GMT	http://justdoingit.ca/wp-content/plugins/wordpress-social-stream/js/jquery.social.stream.wall.1.3.js	C:/My%20Web%20Sites/Just%20doing%20it%201/justdoingit.ca/wp-content/plugins/wordpress-social-stream/js/jquery.social.stream.wall.1.3.js	(from http://justdoingit.ca/)
21:59:53	28434/28434	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jul%202014%2001:59:56%20GMT	http://justdoingit.ca/about/	C:/My%20Web%20Sites/Just%20doing%20it%201/justdoingit.ca/about/index.html	(from http://justdoingit.ca/)
21:59:53	27576/27576	---MCZ	200	added ('OK')	application/x-javascript	date:Sat,%2018%20Jan%202014%2022:27:47%20GMT	http://justdoingit.ca/wp-content/plugins/wordpress-social-stream/js/jquery.social.stream.1.5.4.min.js	C:/My%20Web%20Sites/Just%20doing%20it%201/justdoingit.ca/wp-content/plugins/wordpress-social-stream/js/jquery.social.stream.1.5.4.min.js	(from http://justdoingit.ca/)
